Wall time,Step,Value
1557680477.0791543,42,201.2523193359375
1557680477.3591547,167,183.45175170898438
1557680477.5141544,229,179.57373046875
1557680478.0641537,474,82.47225952148438
1557680478.1971536,536,71.64747619628906
1557680478.2931533,579,118.55374145507812
1557680478.3091578,586,104.4852066040039
1557680478.4441538,647,134.78668212890625
1557680478.8071542,808,64.2916259765625
1557680479.2801557,1014,52.319007873535156
1557680479.9781535,1333,68.22074127197266
1557680480.090154,1385,31.935819625854492
1557680480.1991544,1436,48.62657165527344
1557680480.8711545,1734,20.325599670410156
1557680480.8771534,1737,13.235591888427734
1557680481.1761565,1877,35.439781188964844
1557680482.0981536,2307,12.331192970275879
1557680482.271154,2389,40.89795684814453
1557680482.480155,2485,35.97206115722656
1557680482.4821537,2486,26.727828979492188
1557680482.9051547,2685,49.2887077331543
1557680484.062153,3230,35.18186950683594
1557680484.096153,3246,31.067901611328125
1557680484.2211533,3305,52.40020751953125
1557680484.9661543,3618,11.684587478637695
1557680484.970155,3620,2.919889450073242
1557680486.4791536,4317,26.172698974609375
1557680486.655153,4400,15.094261169433594
1557680486.8481538,4492,14.984637260437012
1557680486.884155,4509,31.48333168029785
1557680487.8701534,4971,12.245258331298828
1557680488.2161539,5134,8.357725143432617
1557680488.6681561,5345,23.812990188598633
1557680489.4671543,5723,11.158016204833984
1557680489.872154,5907,18.550954818725586
1557680490.0621548,5990,13.608940124511719
1557680490.5101542,6200,12.775023460388184
1557680491.578155,6699,11.869986534118652
1557680491.6051545,6711,11.973767280578613
1557680491.911153,6854,6.556644439697266
1557680492.2408655,6966,13.481904029846191
1557680492.6738691,7155,3.723823070526123
1557680493.3658683,7460,3.5638179779052734
1557680493.3718655,7463,3.6408023834228516
1557680494.1368651,7798,3.941898822784424
1557680494.2168698,7833,3.399604320526123
1557680494.7528658,8066,6.426120281219482
1557680495.008869,8180,4.0099263191223145
1557680495.1058671,8221,7.185396194458008
1557680495.7168636,8498,20.234146118164062
1557680495.738868,8508,3.158446788787842
1557680496.5288653,8878,3.899172306060791
1557680496.6498675,8935,5.634189605712891
1557680497.343864,9260,4.322184085845947
1557680497.7918668,9468,3.500314474105835
1557680497.9768693,9554,12.747030258178711
1557680498.2858686,9698,3.4227569103240967
1557680499.904868,10399,13.376117706298828
1557680500.0858681,10479,10.273330688476562
1557680500.182865,10522,12.895171165466309
1557680501.1118655,10905,5.543391704559326
1557680501.250866,10966,3.7445454597473145
1557680501.3788674,11020,3.6670801639556885
1557680502.5758667,11532,3.751830816268921
1557680502.6518695,11566,5.838014602661133
1557680503.7856348,11969,3.6519317626953125
1557680503.7976332,11974,3.4533064365386963
1557680504.227633,12164,4.291077613830566
1557680504.5086336,12290,2.839371919631958
1557680505.812635,12877,3.7509689331054688
1557680506.2046354,13034,3.42427396774292
1557680506.2916355,13061,10.78667163848877
1557680508.0996337,13620,6.388362884521484
1557680509.5896337,14294,3.1828160285949707
1557680510.4156334,14668,7.579340934753418
1557680510.6956334,14779,3.8676390647888184
